article_number,tier_kv,D59_standard_compulsory,D59_optional,W66_available,W88_manual_pos13,W88_motorized_pos13,W89_manual_pos13,W89_motorized_pos13,M30_available,W63_required
3AE5002-1,7.2,NO,YES,NO,"1,2","1,2","1,2","1,2",NO,NO
3AE5002-2,7.2,NO,YES,NO,"1,2","1,2","1,2","1,2",NO,NO
3AE5012-1,7.2,NO,YES,NO,,,,,NO,NO
3AE5012-2,7.2,NO,YES,NO,,,,,NO,NO
3AE5022-1,7.2,NO,YES,NO,,,,,NO,NO
3AE5022-2,7.2,NO,YES,NO,,,,,NO,NO
3AE5022-3,7.2,NO,YES,NO,,,,,NO,NO
3AE5032-1,7.2,NO,YES,NO,,,,,NO,NO
3AE5032-2,7.2,NO,YES,NO,,,,,NO,NO
3AE5042-1,7.2,NO,YES,NO,,,,,NO,NO
3AE5042-2,7.2,NO,YES,NO,,,,,NO,NO
3AE5052-1,7.2,NO,YES,NO,,,,,NO,NO
3AE5052-2,7.2,NO,YES,NO,,,,,NO,NO
3AE5052-3,7.2,NO,YES,NO,,,,,NO,NO
3AE5062-1,7.2,NO,YES,NO,,,,,NO,NO
3AE5062-2,7.2,NO,YES,NO,,,,,NO,NO
3AE5072-1,7.2,NO,YES,NO,,,,,NO,NO
3AE5072-2,7.2,NO,YES,NO,,,,,NO,NO
3AE5082-1,7.2,NO,YES,NO,,,,,NO,NO
3AE5082-2,7.2,NO,YES,NO,,,,,NO,NO
3AE5082-3,7.2,NO,YES,NO,"1,2","1,2","1,2","1,2",NO,NO
3AE5003-1,7.2,NO,YES,NO,"1,2","1,2","1,2","1,2",NO,NO
3AE5003-2,7.2,NO,YES,NO,"1,2","1,2","1,2","1,2",NO,NO
3AE5013-1,7.2,NO,YES,NO,,,,,NO,NO
3AE5013-2,7.2,NO,YES,NO,,,,,NO,NO
3AE5023-1,7.2,NO,YES,NO,,,,,NO,NO
3AE5023-2,7.2,NO,YES,NO,,,,,NO,NO
3AE5023-3,7.2,NO,YES,NO,,,,,NO,NO
3AE5033-1,7.2,NO,YES,NO,,,,,NO,NO
3AE5033-2,7.2,NO,YES,NO,,,,,NO,NO
3AE5043-1,7.2,NO,YES,NO,,,,,NO,NO
3AE5043-2,7.2,NO,YES,NO,,,,,NO,NO
3AE5053-1,7.2,NO,YES,NO,,,,,NO,NO
3AE5053-2,7.2,NO,YES,NO,,,,,NO,NO
3AE5053-3,7.2,NO,YES,NO,,,,,NO,NO
3AE5063-1,7.2,NO,YES,NO,,,,,NO,NO
3AE5063-2,7.2,NO,YES,NO,,,,,NO,NO
3AE5073-1,7.2,NO,YES,NO,,,,,NO,NO
3AE5073-2,7.2,NO,YES,NO,,,,,NO,NO
3AE5083-1,7.2,NO,YES,NO,,,,,NO,NO
3AE5083-2,7.2,NO,YES,NO,,,,,NO,NO
