tier_kv,article_number,rated_continuous_current_A,pole_center_distance_mm,vertical_distance_terminals_mm,rated_scb_current_kA,dc_component_pct,asymmetrical_breaking_current_kA,making_current_50_60Hz_kA,back_to_back_inrush_kA_peak,rated_lightning_impulse_kV,rated_power_freq_withstand_kV,voltage_drop_mV,min_creepage_interrupter_mm,min_creepage_phase_to_earth_mm,min_clearance_phase_to_phase_mm,min_clearance_phase_to_earth_mm,weight_kg,dimensional_drawing_no,operating_cycle_diagram_no
7.2,3AE5002-1,800,150,205,16,50,19.6,40/42,,60,20,3,93,245,93,97,49/-,A7E10900005,1
7.2,3AE5002-2,1250,150,205,16,50,19.6,40/42,,60,20,3,93,245,93,97,49/-,A7E10900005,1
7.2,3AE5003-1,800,150,205,20,50,24.5,50/52,,60,20,3,93,245,93,97,49/-,A7E10900005,2
7.2,3AE5003-2,1250,150,205,20,20,24.5,50/52,,60,20,3,93,245,93,97,49/-,A7E10900005,2
7.2,3AE5004-1,800,150,205,25,50,30.6,63/65,,60,20,3,93,245,93,97,49/-,A7E10900005,3a
7.2,3AE5004-2,1250,150,205,25,50,30.6,63/65,,60,20,3,93,245,93,97,49/-,A7E10900005,3a
7.2,3AE5005-1,800,150,205,31.5,50,38.6,80/82,20,60,20,2.5,90,255,98,97,53.5/-,A7E10900006,4a
7.2,3AE5005-2,1250,150,205,31.5,50,38.6,80/82,20,60,20,2.5,90,255,98,97,53.5/-,A7E10900006,4a
7.2,3AE5012-1,800,150,275,16,50,19.6,40/42,,60,20,3,93,245,93,97,49/85,A7E10900005,1
7.2,3AE5012-2,1250,150,275,16,50,19.6,40/42,,60,20,3,93,245,93,97,49/85,A7E10900005,1
7.2,3AE5013-1,800,150,275,20,50,24.5,50/52,,60,20,3,93,245,93,97,49/85,A7E10900005,2
7.2,3AE5013-2,1250,150,275,20,50,24.5,50/52,,60,20,3,93,245,93,97,49/85,A7E10900005,2
7.2,3AE5014-1,800,150,275,25,50,30.6,63/65,,60,20,3,93,245,93,97,49/85,A7E10900005,3a
7.2,3AE5014-2,1250,150,275,25,50,30.6,63/65,,60,20,3,93,245,93,97,49/85,A7E10900005,3a
7.2,3AE5015-1,800,150,275,31.5,50,38.6,80/82,20,60,20,2.5,90,255,98,122,53.5/89.5,A7E10900006,4a
7.2,3AE5015-2,1250,150,275,31.5,50,38.6,80/82,20,60,20,2.5,90,255,98,122,53.5/89.5,A7E10900006,4a
7.2,3AE5022-1,800,150,310,16,50,19.6,40/42,,60,20,3,93,245,93,97,49/85,A7E10900005,1
7.2,3AE5022-2,1250,150,310,16,50,19.6,40/42,,60,20,3,93,245,93,97,49/85,A7E10900005,1
7.2,3AE5022-3,1600,150,310,16,50,19.6,40/42,20,60,20,2.5,90,255,98,122,59.5/95.5,A7E10900006,1a
7.2,3AE5023-1,800,150,310,20,50,24.5,50/52,,60,20,3,93,245,93,97,49/85,A7E10900005,2
7.2,3AE5023-2,1250,150,310,20,50,24.5,50/52,,60,20,3,93,245,93,97,49/85,A7E10900005,2
7.2,3AE5023-3,1600,150,310,20,50,24.5,50/52,20,60,20,2.5,90,255,98,122,59.5/95.5,A7E10900006,2a
7.2,3AE5024-1,800,150,310,25,50,30.6,63/65,,60,20,3,93,245,93,97,49/85,A7E10900005,3a
7.2,3AE5024-2,1250,150,310,25,50,30.6,63/65,,60,20,3,93,245,93,97,49/85,A7E10900005,3a
7.2,3AE5024-3,1600,150,310,25,50,30.6,63/65,20,60,20,2.5,90,255,98,122,59.5/95.5,A7E10900006,3b
7.2,3AE5025-1,800,150,310,31.5,50,38.6,80/82,20,60,20,2.5,90,255,98,122,53.5/89.5,A7E10900006,4a
7.2,3AE5025-2,1250,150,310,31.5,50,38.6,80/82,20,60,20,2.5,90,255,98,122,53.5/89.5,A7E10900006,4a
7.2,3AE5025-3,1600,150,310,31.5,50,38.6,80/82,20,60,20,2.5,90,255,98,122,59.5/95.5,A7E10900006,4a
7.2,3AE5032-1,800,160,205,16,50,19.6,40/42,,60,20,3,93,245,93,129,49/-,A7E10900005,1
7.2,3AE5032-2,1250,160,205,16,50,19.6,40/42,,60,20,3,93,245,93,129,49/-,A7E10900005,1
